GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			tan_tmp			s			x_error
264.79108000		264.79129003		0.00021003		5		0.00000000		174.79125871		90.00000154		264.79129003		-174.79125871		-4.21530633		8.00924642		0.73704000
264.79108000		264.79073815		0.00054895		180		0.00000000		174.79073760		90.00000154		264.79073815		-174.79073760		-4.21530633		8.00924642		0.73704000
264.79108000		264.79395910		0.00376989		351		0.00000000		174.79394878		90.00000154		264.79395910		-174.79394878		-4.21530633		8.00924642		0.73704000
264.79108000		264.79244166		0.00225245		500		31.55002626		174.79247785		90.00000154		264.79244166		-174.79247785		-4.21530633		8.00924642		0.73704000
264.79108000		264.78758828		-0.00260093		500		40.37691893		174.78759540		90.00000154		264.78758828		-174.78759540		-4.21530633		8.00924642		0.73704000
264.79108000		264.77687917		-0.01697240		500		50.60175456		174.77688172		90.00000154		264.77687917		-174.77688172		-4.21530633		8.00924642		0.73704000
264.79108000		264.79094936		-0.03094821		500		0.00000000		174.79098336		90.00000154		264.79094936		-174.79098336		-4.21530633		8.00924642		0.73704000
264.79108000		264.78096586		-0.04093172		500		70.87603038		174.78096772		90.00000154		264.78096586		-174.78096772		-4.21530633		8.00924642		0.73704000
264.79108000		264.77254994		-0.04934764		500		81.62485831		174.77258300		90.00000154		264.77254994		-174.77258300		-4.21530633		8.00924642		0.73704000
264.79108000		264.78377281		-0.05886471		500		90.71362272		174.78381309		90.00000154		264.78377299		-174.78381309		-4.21530633		8.00924642		0.73704000
264.79108000		264.79072414		-0.07138465		500		99.62725445		174.79076282		90.00000154		264.79072414		-174.79076282		-4.21530633		8.00924642		0.73704000
264.79108000		264.77754138		-0.08456741		500		0.00000000		174.77760481		90.00000154		264.77754138		-174.77760481		-4.21530633		8.00924642		0.73704000
264.79108000		264.79064818		-0.09617031		500		116.31851599		174.79066345		90.00000154		264.79064818		-174.79066345		-4.21530633		8.00924642		0.73704000
264.79108000		264.77813466		-0.10868383		500		124.62079348		174.77814229		90.00000154		264.77813466		-174.77814229		-4.21530633		8.00924642		0.73704000
264.79108000		264.78949905		-0.12042895		500		17.21693349		174.78958392		90.00000154		264.78949905		-174.78958392		-4.21530633		8.00924642		0.73704000
264.79108000		264.77788730		-0.13204069		500		11.79837953		174.77798359		90.00000154		264.77788730		-174.77798359		-4.21530633		8.00924642		0.73704000
264.79108000		264.76536400		-0.14456399		500		0.00000000		174.76542021		90.00000154		264.76536400		-174.76542021		-4.21530633		8.00924642		0.73704000
264.79108000		264.77803810		-0.15938669		500		140.87531931		174.77812300		90.00000154		264.77803810		-174.77812300		-4.21530633		8.00924642		0.73704000
264.79108000		264.79077750		-0.17192068		500		168.22758359		174.79082191		90.00000154		264.79077750		-174.79082191		-4.21530633		8.00924642		0.73704000
264.79108000		264.77753425		-0.18516393		500		174.78188799		174.77757674		90.00000154		264.77753425		-174.77757674		-4.21530633		8.00924642		0.73704000
