GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle
267.71642000		267.71657836		0.00015836		107
267.71642000		267.71868160		0.00226160		500
267.71642000		267.71718446		0.00304340		500
267.71642000		267.71603062		-0.00384163		500
267.71642000		267.70620666		-0.01366559		500
267.71642000		267.71592038		-0.02630627		500
267.71642000		267.70308767		-0.03913898		500
267.71642000		267.69199695		-0.05022971		500
267.71642000		267.70464974		-0.06333800		500
267.71642000		267.71542575		-0.08012691		500
267.71642000		267.70275727		-0.09279539		500
267.71642000		267.71560250		-0.10757631		500
267.71642000		267.70036027		-0.12281854		500
267.71642000		267.71548542		-0.13641964		500
267.71642000		267.69983948		-0.15206557		500
267.71642000		267.66363360		-0.18827145		500
267.71642000		267.64791114		-0.26235057		500
267.71642000		267.47083573		-0.43942599		500
267.71642000		267.47906836		-0.72047746		500
86.09976000		86.07061874		-1.10912531		500
86.09976000		85.53034873		-1.64939532		500
85.21998000		85.14745622		-2.35878137		-50
85.21998000		84.29486385		-3.21137374		-61
77.29109000		77.16381832		-4.12432369		-84
77.29109000		76.25876074		-5.02938127		-160
78.00752000		77.98733975		-5.93681608		-211
78.00752000		77.07102461		-6.85313122		-204
78.00752000		76.17298319		-7.75117264		-203
77.03054000		76.24696803		-8.61676982		-210
75.22843000		75.15460457		-9.46066574		-218
75.22843000		74.35258619		-10.26268412		-236
75.57013000		75.51199231		-11.01196760		-252
75.57013000		74.81456410		-11.70939581		-247
72.76243000		72.71440394		-12.33965696		-250
72.76243000		72.17485629		-12.87920461		-277
72.76243000		71.71697852		-13.33708238		-294
68.73589000		68.35017480		-13.73209552		-331
73.48102000		73.47550833		-14.05530550		-361
73.48102000		73.23368625		-14.29712757		-310
70.04603000		70.03636209		-14.47766443		-284
70.04603000		69.89600512		-14.61802140		-317
71.42224000		71.41891568		-14.68768090		-340
71.42224000		71.41483717		-14.69175941		-327
71.86265000		71.87160887		-14.65158493		-318
71.86265000		71.97158528		-14.55160852		-315
69.20782000		69.21582675		-14.38814377		-314
69.20782000		69.41865675		-14.18531377		-341
74.42808000		69.67132789		-13.93264263		-358
74.42808000		69.98268191		-13.62128861		-355
73.94042000		70.34178584		-13.26218469		-351
73.94042000		70.75218454		-12.85178598		-346
75.36740000		71.22206930		-12.38190122		-340
75.36740000		71.72710740		-11.87686313		-334
74.40931000		74.47787522		-11.34180601		-324
74.40931000		75.06413507		-10.75554616		-294
80.25926000		80.33517509		-10.13779444		-270
80.25926000		80.92289041		-9.55007912		-212
79.23362000		79.28546493		-9.04000916		-181
79.23362000		79.74266991		-8.58280418		-194
79.54607000		79.54734125		-8.15994893		-200
79.54607000		79.91671346		-7.79057673		-200
80.70591000		80.75693233		-7.46423395		-198
80.70591000		81.08853107		-7.13263521		-188
83.21341000		83.26333007		-6.80539410		-177
83.21341000		83.56117241		-6.50755176		-154
84.17252000		84.21666154		-6.23258096		-140
84.17252000		84.46680829		-5.98243421		-132
83.42952000		84.67521599		-5.77402651		-126
83.42952000		84.86076720		-5.58847530		-123
83.42952000		85.04524803		-5.40399447		-121
77.80684000		85.21424093		-5.23500157		-118
82.84733000		82.87892514		-5.08206097		-120
82.84733000		83.03414586		-4.92684025		-142
83.56612000		83.59870686		-4.77964045		-154
83.56612000		83.75056741		-4.62777991		-151
86.48591000		83.94355672		-4.43479060		-148
86.48591000		84.14150920		-4.23683812		-145
83.35213000		83.38871727		-4.05570979		-144
83.35213000		83.57771780		-3.86670926		-151
84.06655000		84.08121106		-3.67187648		-149
84.06655000		84.27803752		-3.47505003		-140
82.46018000		82.50654880		-3.26462116		-139
82.46018000		82.70915344		-3.06201652		-155
89.42474000		89.46496481		-2.87629697		-148
89.42474000		89.66762370		-2.67363807		-81
83.83888000		83.90227881		-2.43479499		-52
83.83888000		84.09678148		-2.24029232		-75
87.50528000		87.53020982		-2.10253511		-78
87.50528000		87.66271484		-1.97003009		-69
87.11137000		87.12113843		-1.84301991		-80
87.11137000		87.21908458		-1.74507376		-85
87.70049000		87.72499874		-1.65012406		-55
87.70049000		87.85367478		-1.52144802		-19
87.83490000		87.85650596		-1.40517405		-15
87.83490000		87.92503686		-1.33664314		-29
88.03989000		88.04434518		-1.29656429		-48
88.03989000		88.07356242		-1.26734704		-46
83.37231000		83.37937327		-1.20813662		-50
83.37231000		83.47051434		-1.11699555		-95
85.94444000		85.94921235		-1.04063224		-124
85.94444000		86.04852099		-0.94132360		-99
88.22404000		88.25788329		-0.77134284		-80
88.22404000		88.44753815		-0.58168798		-47
88.99195000		89.02399383		-0.43473030		-24
88.99195000		89.14178864		-0.31693548		-18
89.92007000		89.94343896		-0.22417826		-12
89.92007000		89.98917510		-0.17844211		-4
87.40416000		87.41055215		-0.15600079		-7
87.40416000		87.44233411		-0.12421884		-27
88.01146000		88.01001637		-0.12378805		-39
88.01146000		88.01891338		-0.11489103		-33
90.63465000		90.66535800		-0.02254193		-28
90.63465000		90.76573774		0.07783782		-2
84.59245000		84.60664217		0.13041733		-8
84.59245000		84.64751506		0.17129022		-62
89.81348000		89.81076312		0.17018944		-80
89.81348000		89.83245315		0.19187948		-33
87.79668000		87.81980024		0.32012910		-8
87.79668000		87.96514704		0.46547590		-28
86.28529000		86.29000527		0.51628072		-40
86.28529000		86.32129447		0.54756992		-56
90.65651000		90.69623033		0.66284406		-51
90.65651000		90.84096528		0.80757901		-9
85.90786000		90.99104053		0.95765427		12
85.90786000		91.12292928		1.08954302		13
92.39611000		92.39546823		1.12917112		18
92.39611000		92.34476687		1.07846976		31
88.34964000		88.33833502		1.02890736		26
88.34964000		88.28190852		0.97248085		-5
88.50392000		88.48349463		0.85784019		-21
88.50392000		88.42395888		0.79830444		-19
87.41339000		87.44143334		0.86370767		-20
87.41339000		87.52047423		0.94274857		-27
88.65235000		88.66891335		0.98650797		-30
88.65235000		88.75239945		1.06999407		-20
89.27426000		89.29185750		1.19053664		-12
89.27426000		89.37201140		1.27069053		-7
88.83798000		88.84651790		1.30347813		-9
88.83798000		88.87646236		1.33342259		-18
88.50816000		88.51389452		1.35939994		-22
88.50816000		88.55646960		1.40197502		-24
90.42174000		90.45234783		1.48876002		-19
90.42174000		90.54521691		1.58162909		1
89.90420000		89.93123738		1.66097070		14
89.90420000		89.96297726		1.69271058		10
90.20898000		90.18057463		1.63201883		6
90.20898000		90.10382421		1.55526842		3
90.04644000		90.04590696		1.53740507		1
90.04644000		90.04605112		1.53754923		0
88.35920000		88.35685376		1.52747615		-1
88.35920000		88.35896346		1.52958585		-9
89.70595000		89.70803119		1.53558913		-13
89.70595000		89.72269858		1.55025653		-1
88.19538000		88.22855779		1.61754774		-1
88.19538000		88.26984902		1.65883897		-15
90.41215000		90.40059519		1.63132734		-24
90.41215000		90.42621681		1.65694896		-8
89.75087000		89.80534922		1.79955982		7
89.75087000		89.90183516		1.89604576		3
90.37563000		90.35285512		1.84746112		0
90.37563000		90.30599104		1.80059704		3
90.59750000		90.61245699		1.83207278		7
90.59750000		90.60581880		1.82543459		10
89.13247000		89.10770538		1.77365186		6
89.13247000		89.07180936		1.73775584		-4
89.72223000		89.69884536		1.69074640		-15
89.72223000		89.67780158		1.66970262		-15
89.73808000		89.77750479		1.74852108		-11
89.73808000		89.88284477		1.85386107		-10
89.38953000		89.40329651		1.91507176		-9
89.38953000		89.44977154		1.96154679		-11
91.04389000		91.06470164		2.00782890		-7
91.04389000		91.11227141		2.05539867		5
91.06799000		91.10195673		2.12140690		13
91.06799000		91.10459021		2.12404039		14
90.08513000		90.03887657		2.02843353		10
90.08513000		89.94336640		1.93292336		1
90.57291000		90.55432010		1.87852790		-2
90.57291000		90.52652145		1.85072925		1
89.65906000		89.66986770		1.86636195		1
89.65906000		89.69372448		1.89021873		-8
90.82765000		90.80947563		1.86348714		-12
90.82765000		90.81409897		1.86811048		-3
91.23328000		91.28906818		1.97244791		4
91.23328000		91.35422773		2.03760747		8
90.37161000		90.35046870		2.01098122		7
90.37161000		90.31038135		1.97089387		2
90.15240000		90.12158661		1.91975905		0
90.15240000		90.07742689		1.87559933		0
90.09481000		90.09993448		1.88246159		-1
90.09481000		90.11245771		1.89498482		-1
90.49531000		90.48564526		1.88243914		0
90.49531000		90.49831322		1.89510710		3
91.14653000		91.15147606		1.91170502		9
91.14653000		91.12840684		1.88863580		14
90.36667000		90.34784555		1.84635625		14
90.36667000		90.27268065		1.77119134		8
90.61689000		90.56185070		1.64411055		4
90.61689000		90.46770354		1.54996339		5
89.40597000		89.41323477		1.54902045		3
89.40597000		89.41105815		1.54684383		-5
89.37686000		89.34342298		1.49948034		-11
89.37686000		89.34455111		1.50060847		-12
90.10077000		90.16103473		1.58503444		-9
90.10077000		90.27131113		1.69531085		-5
90.06443000		90.10907674		1.77668583		-4
90.06443000		90.14984068		1.81744978		-4
89.91068000		90.17245786		1.84006695		-3
89.91068000		90.19935499		1.86696408		0
90.60902000		90.62231675		1.89210371		4
90.60902000		90.63139272		1.90117968		7
89.95845000		89.94609831		1.88526215		5
89.95845000		89.89689493		1.83605877		0
90.95345000		90.91233492		1.77315213		3
90.95345000		90.88790438		1.74872159		9
89.46059000		89.46659373		1.76190943		1
89.46059000		89.42051288		1.71582859		-11
90.17262000		90.15804211		1.63588330		-14
90.17262000		90.20619777		1.68403897		-7
89.59708000		89.68951362		1.83536714		-2
89.59708000		89.77298010		1.91883362		-3
89.96919000		89.97581505		1.93105546		-2
89.96919000		89.98711313		1.94235354		0
90.51055000		90.02451243		1.97975284		0
90.51055000		90.04363587		1.99887628		-1
89.87588000		89.86414926		1.98116637		-4
89.87588000		89.86688397		1.98390108		-7
90.96941000		90.99253556		2.01427665		0
90.96941000		91.03855923		2.06030031		8
89.49522000		89.51189528		2.10479393		3
89.49522000		89.46154925		2.05444790		-7
90.87793000		89.36859339		1.96149203		-12
90.87793000		89.39445346		1.98735210		-10
89.80053000		89.88079566		2.12015499		-7
89.80053000		89.97604782		2.21540715		-2
90.04327000		90.07602324		2.26991801		-2
90.04327000		90.11426706		2.30816183		-3
90.92523000		90.92132294		2.30796475		1
90.92523000		90.93478755		2.32142937		8
90.54375000		90.56355591		2.35123860		9
90.54375000		90.51351361		2.30119630		6
90.57602000		90.48646385		2.19045430		7
90.57602000		90.41475322		2.11874367		9
90.59126000		90.57413672		2.09411304		9
90.59126000		90.49637532		2.01635164		11
90.14463000		90.07788955		1.92789305		7
90.14463000		90.00224340		1.85224690		2
90.41112000		90.34365468		1.76386231		4
90.41112000		90.30189440		1.72210204		7
89.49488000		89.49940820		1.72450729		2
89.49488000		89.46625734		1.69135643		-4
90.18340000		90.13677081		1.62563602		-2
90.18340000		90.15185251		1.64071730		1
89.76301000		89.80547958		1.69645982		-2
89.76301000		89.80935465		1.70033488		-5
90.05378000		90.04458372		1.68741164		-2
90.05378000		90.08063034		1.72345826		2
90.36478000		90.39085805		1.76984986		5
90.36478000		90.38971904		1.76871084		7
90.17243000		90.13840933		1.72945653		7
90.17243000		90.05866897		1.64971616		4
89.82269000		89.76036905		1.56759591		1
89.82269000		89.69834279		1.50556966		-2
89.53654000		89.53108080		1.49063231		-6
89.53654000		89.54887536		1.50842687		-9
90.66269000		90.70818030		1.56026524		0
90.66269000		90.81072489		1.66280982		12
89.74453000		89.78368542		1.73168706		9
89.74453000		89.70224959		1.65025123		0
89.58902000		89.53305308		1.48105472		-1
89.58902000		89.49490087		1.44290251		-1
90.15719000		90.19472296		1.48674923		3
90.15719000		90.20871584		1.50074212		10
89.63683000		89.62323156		1.48661879		1
89.63683000		89.57333248		1.43671972		-8
90.23505000		90.19090258		1.37633488		-4
90.23505000		90.23628878		1.42172108		0
89.56010000		89.62459487		1.50926384		0
89.56010000		89.63271200		1.51738097		-3
89.21727000		89.19053999		1.47749140		-5
89.21727000		89.18865361		1.47560501		-10
89.99777000		90.03142472		1.51300994		-7
89.99777000		90.11660946		1.59819468		-1
89.94009000		90.04052905		1.71367780		-1
89.94009000		90.10259675		1.77574550		0
89.81460000		89.79733930		1.76072794		2
89.81460000		89.78682339		1.75021203		0
89.58048000		89.57273906		1.74178937		-2
89.58048000		89.55688578		1.72593609		-7
90.04058000		90.05314144		1.73554099		-5
90.04058000		90.12627500		1.80867455		0
90.27551000		90.37220502		1.91347082		5
90.00122000		90.37644486		1.91771066		9
90.00122000		90.30084905		1.84211486		9
90.71486000		90.63272614		1.73280648		9
90.03301000		89.87817548		1.45950525		-1
89.74117000		89.71214267		1.39376426		-1
90.00605000		90.05842315		1.46267840		4
89.83992000		89.83127022		1.45516177		2
89.50108000		89.48898244		1.38824152		0
89.50108000		89.47147343		1.37073192		-5
90.20530000		90.26989546		1.44111823		7
89.18253000		89.17632617		1.43729365		-7
89.77403000		89.73066054		1.36705720		-2
89.85017000		89.93431841		1.50434558		2
89.18232000		89.13280346		1.44012600		0
90.51228000		90.48647396		1.37727372		0
89.50682000		89.51482435		1.43459283		11
89.50682000		89.44794878		1.36771726		4
90.23471000		90.23110436		1.16874730		1
90.23471000		90.21819022		1.15583316		13
89.07814000		89.00341379		1.08001788		-500
89.50827000		89.70433649		1.23173443		3
88.52828000		89.02631397		2.09255688		3
89.95571000		89.48263623		2.54887914		3
92.56060000		92.56267319		2.52685566		15
89.22950000		89.20363955		2.45042143		48
89.22950000		88.55928295		1.80606483		-5
90.85298000		90.40393703		1.23451230		16
89.44458000		89.44759513		1.26863229		9
89.59941000		89.39573632		0.91832124		3
89.79316000		89.32589133		0.84847625		2
87.87841000		87.83177085		0.77818375		-15
89.73505000		89.83816288		0.90180415		-1
88.57541000		90.16503367		1.22867494		13
90.05038000		89.93763293		1.10031058		14
89.79217000		89.74965264		0.89957169		6
89.79217000		89.64708010		0.79700025		4
88.01429000		87.98775174		0.72090348		-16
89.02773000		89.04439097		0.73339745		-17
89.12218000		89.36108980		1.13811087		-3
89.58589000		89.59455667		1.15878467		1
