GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result
266.24419000		266.24404453		-0.00014547		148		0.00000000
266.24419000		266.24455340		0.00036340		500		0.00000000
266.24419000		266.24388490		0.00078365		500		59221.98036496
266.24419000		266.23807961		-0.00502165		500		178.37925935
266.24419000		266.24305621		-0.01017886		500		178.37535354
266.24419000		266.23097633		-0.02225874		500		178.37343773
266.24419000		266.24395003		-0.03730309		500		17302.45652695
266.24419000		266.23321162		-0.04804151		500		178.36652545
266.24419000		266.24289956		-0.05999852		500		178.37010983
266.24419000		266.22732949		-0.07556859		500		178.36833045
266.24419000		266.24181773		-0.09089620		500		178.36553798
266.24419000		266.22617194		-0.10654200		500		178.36521706
266.24419000		266.24215250		-0.12116675		500		178.36368576
266.24419000		266.22985935		-0.13345989		500		178.36506160
266.24419000		266.24188650		-0.14744036		500		178.36755022
266.24419000		266.22698659		-0.16234027		500		178.36640013
266.24419000		266.24120384		-0.17677849		500		268798.08936180
266.24419000		266.22530500		-0.19267733		500		315349.72451421
266.24419000		266.24125188		-0.21077672		500		178.36344136
266.24419000		266.22330166		-0.22872693		500		178.36342800
266.24419000		266.23956010		-0.24910125		500		178.36230597
266.24419000		266.22072966		-0.26793169		500		178.36147254
266.24419000		266.24321614		-0.28361410		500		92929.50610429
266.24419000		266.25116601		-0.27566423		500		178.36685791
266.24419000		266.24415836		-0.27318258		500		178.38562039
266.24419000		266.23880690		-0.27853405		500		178.38337001
266.24419000		266.24502134		-0.27424684		500		178.37634450
266.24419000		266.24291605		-0.27635213		500		122900.89814427
266.24419000		266.24160308		-0.27766510		500		38887.15802793
266.24419000		266.24512964		-0.27413854		500		178.37833530
266.24419000		266.24282179		-0.27791169		500		178.37996791
266.24419000		266.24459222		-0.27614126		500		110416.91039159
266.24419000		266.24392725		-0.27511771		500		178.38052449
266.24419000		266.24382857		-0.27521639		500		178.38019196
266.24419000		266.24476525		-0.27219665		500		178.37995591
266.24419000		266.24335863		-0.27360326		500		178.38049497
266.24419000		266.24466746		-0.27353304		500		178.37967035
266.24419000		266.24630239		-0.27189810		500		178.38032172
266.24419000		266.24341202		-0.27330741		500		178.38149443
266.24419000		266.24435844		-0.27236099		500		178.38030865
266.24419000		266.24395571		-0.27079208		500		178.38019373
266.24419000		266.24406300		-0.27068479		500		178.38055404
266.24419000		266.24347973		-0.27126806		500		178.37988461
266.24419000		266.24346123		-0.27128657		500		178.37984038
266.24419000		266.24424638		-0.27050157		500		178.38012269
266.24419000		266.24402126		-0.27072670		500		178.40849378
266.24419000		266.24403594		-0.27089798		500		178.42385915
266.24419000		266.24428964		-0.27064428		500		178.39956625
266.24419000		266.24436424		-0.27098863		500		178.37984379
266.24419000		266.24410668		-0.27124620		500		178.38017942
266.24419000		266.24530593		-0.27041171		500		247770.01991832
266.24419000		266.24422958		-0.27148806		500		178.38027931
266.24419000		266.24427300		-0.27081233		500		178.38035978
266.24419000		266.24571784		-0.26936749		500		178.38051923
266.24419000		266.24476078		-0.26880988		500		178.38102193
266.24419000		266.24695272		-0.26661794		500		178.38129865
266.24419000		266.24421813		-0.26695493		500		178.38205520
266.24419000		266.24267837		-0.26849468		500		310918.15073044
266.24419000		266.24377782		-0.26910241		500		178.37918538
266.24419000		266.24152833		-0.27135190		500		164465.46415023
266.24419000		266.24413785		-0.27129138		500		178.37837396
266.24419000		266.24464193		-0.27078730		500		227076.18540213
266.24419000		266.24378554		-0.27170103		500		178.38023676
266.24419000		266.24359060		-0.27189597		500		178.38001435
266.24419000		266.24398405		-0.27235074		500		178.37981653
266.24419000		266.24390190		-0.27243289		500		178.37992779
266.24419000		266.24385032		-0.27199676		500		178.38025317
266.24419000		266.24253702		-0.27331006		500		178.37977730
266.24419000		266.24390431		-0.27313986		500		77059.87306875
266.24419000		266.24426020		-0.27278397		500		39243.16922957
266.24419000		266.24404115		-0.27305514		500		185158.20985108
266.24419000		266.24416921		-0.27292708		500		21227.29941648
266.24419000		266.24374026		-0.27458802		500		178.37985171
266.24419000		266.23734937		-0.28097891		500		76168.15908734
266.24419000		266.23419348		-0.31867944		500		178.37080770
266.24419000		266.11845372		-0.43441920		500		178.34216493
266.24419000		265.87921251		-0.67366041		500		178.22902131
266.24419000		265.88140425		-1.03824387		500		178.17857484
83.03054000		82.91713568		-1.53003929		500		157.90580719
83.03054000		82.27225537		-2.17491960		500		114339.22316053
79.83099000		81.48409808		-2.96307689		-100		-6.03252342
79.83099000		80.57204495		-3.87513002		-116		-7.00390758
78.42617000		78.37569760		-4.87355105		-134		-186.02075171
78.42617000		77.36527467		-5.88397398		-163		-9.79330129
75.32694000		75.09294173		-6.87255042		-193		-11.60680940
75.32694000		74.10931066		-7.85618149		-222		-13.35371008
75.29770000		75.23901651		-8.82014587		-247		-14.85182055
75.29770000		74.32236663		-9.73679575		-246		-14.76972746
75.90027000		75.69901165		-10.62511630		-243		-14.60777338
75.90027000		74.85262525		-11.47150271		-240		-14.40591489
70.32446000		70.15248068		-12.26253156		-249		-14.97569666
70.32446000		69.40910483		-13.00590741		-299		-17.98501135
71.82335000		71.64486724		-13.69213454		-331		-19.87625344
71.82335000		71.04357135		-14.29343044		-320		-19.22625448
69.80535000		70.52020823		-14.81679355		-312		-18.73868234
69.80535000		70.06636914		-15.27063264		-322		-10709.95594082
68.64931000		68.57658351		-15.63984141		-334		-20.06379263
68.64931000		68.27874821		-15.93767671		-353		-21.20296597
68.62244000		68.54766413		-16.17067146		-365		-22251.37291080
68.62244000		68.38971051		-16.32862508		-367		-22.05828244
