GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		atan_tmp
268.75833000		268.75792219		-0.00040781		170		10.25010781		179.82625098		-1.06832789
268.75833000		268.75937111		0.00045413		500		110.50337465		179.82769487		1.06832789
268.75833000		268.75940418		0.00048720		500		179.82767622		179.82773228		-1.06832789
268.75833000		268.75260282		-0.00765417		500		179.82678089		179.82093164		-1.06832789
268.75833000		268.74491011		-0.01534688		500		179.82172192		179.81323748		-1.06832789
268.75833000		268.75005101		-0.03038163		500		179.81741775		179.81838291		-1.06832789
268.75833000		268.73658203		-0.04385061		500		179.81445107		179.80491731		-1.06832789
268.75833000		268.75446013		-0.05326509		500		179.81164826		179.82279214		-1.06832789
268.75833000		268.74076109		-0.06696413		500		179.81454315		179.80909453		-1.06832789
268.75833000		268.75120803		-0.08384597		500		179.81324315		179.81953900		-1.06832789
268.75833000		268.73667839		-0.09837561		500		179.81475269		179.80501040		-1.06832789
268.75833000		268.75241499		-0.11477087		500		11.68779771		179.82074260		-1.06832789
268.75833000		268.73388932		-0.13329654		500		179.81111094		179.80222173		-1.06832789
268.75833000		268.75056354		-0.14997342		500		179.81131099		179.81889942		-1.06832789
268.75833000		268.73362764		-0.16690932		500		179.81249799		179.80197299		-1.06832789
268.75833000		268.74510897		-0.18732687		500		179.81126498		179.81344723		-1.06832789
268.75833000		268.70685446		-0.22558138		500		110.04512149		179.77518949		-1.06832789
268.75833000		268.70218526		-0.31379832		500		179.78734110		179.77059201		-1.06832789
268.75833000		268.50439879		-0.51158479		500		179.73052400		179.57692489		-1.06832789
268.75833000		268.60338631		-0.81020087		500		179.64820169		179.67180863		-1.06832789
268.75833000		268.18402959		-1.22955758		500		179.54770431		179.07458468		-0.89031233
84.07847000		83.89148992		-1.80572142		500		149.42200228		-5.22066744		-0.88765389
84.07847000		83.14515027		-2.55206107		500		46.66867620		-5.98147788		-0.87305843
