GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		psi		atan_tmp		s		x_error
265.06166000		265.06166685		0.00000685		121		7.30881085		178.26368272		-175.06166528		-3.20201744		6.77734009		0.55944000
265.06166000		265.06309708		0.00138461		500		97.59945181		178.26511096		-175.06309351		-3.20201744		6.77734009		0.55944000
265.06166000		265.06443415		0.00272168		500		178.26505952		178.26644923		-175.06443178		-3.20201744		6.77734009		0.55944000
265.06166000		265.05740763		-0.00431474		500		178.26490215		178.25942836		-175.05741091		-3.20201744		6.76637838		0.55944000
265.06166000		265.04888331		-0.01283907		500		119.88091762		178.25090175		-175.04888430		-3.20201744		6.76637838		0.55944000
265.06166000		265.05429802		-0.02677640		500		178.25413855		178.25632162		-175.05430418		-3.20201744		6.77734009		0.55944000
265.06166000		265.04060494		-0.04046948		500		178.25237310		178.24262960		-175.04061216		-3.20201744		6.77734009		0.55944000
265.06166000		265.05794220		-0.05352713		500		178.24661478		178.25997127		-175.05795383		-3.20201744		6.77734009		0.55944000
265.06166000		265.04512633		-0.06634301		500		178.25278010		178.24714746		-175.04513002		-3.20201744		6.77734009		0.55944000
265.06166000		265.05686429		-0.08105760		500		92.77825786		178.25888162		-175.05686418		-3.20201744		6.77734009		0.55944000
265.06166000		265.03918988		-0.09873202		500		178.25179581		178.24121255		-175.03919510		-3.20201744		6.77734009		0.55944000
265.06166000		265.05254173		-0.11547285		500		178.24723768		178.25457205		-175.05255460		-3.20201744		6.77734009		0.55944000
265.06166000		265.03838531		-0.12962926		500		178.25048948		178.24040846		-175.03839102		-3.20201744		6.77734009		0.55944000
265.06166000		265.05343831		-0.14460869		500		178.24649739		178.25545541		-175.05343796		-3.20201744		6.77734009		0.55944000
265.06166000		265.02692093		-0.17112607		500		178.24865762		178.22896889		-175.02695145		-3.20201744		6.77734009		0.55944000
265.06166000		264.94229368		-0.25575332		500		178.20973071		178.14434725		-174.94232981		-3.20201744		6.76637838		0.55944000
265.06166000		264.78060454		-0.41744246		500		23.69953121		177.98263907		-174.78062163		-3.20201744		6.76637838		0.55944000
265.06166000		264.94886967		-0.63376356		500		155.24684021		178.15093148		-174.94891403		-3.20201744		6.76637838		0.55944000
265.06166000		264.61489096		-0.96774227		500		178.05767074		177.81701172		-174.61499428		-3.20201744		6.76637838		0.55944000
84.88732000		84.72129509		-1.45638189		500		141.71940533		-2.65507162		5.27857648		-2.62350486		6.67010168		0.54984989
84.88732000		84.10956328		-2.06811369		500		38.23155711		-3.27841270		5.89031095		-2.61189824		6.64502844		0.54741393
84.94126000		84.57287116		-2.80999108		-52		-0.21286345		-3.21836583		5.42534113		-2.20697529		6.54407128		0.53953265
84.94126000		83.67359244		-3.70926980		-57		-3.46249330		-4.14008914		6.32588815		-2.18579901		6.49337944		0.53435070
72.07312000		71.49520847		-4.65816568		-133		-7.99878953		-16.43719263		18.50448830		-2.06729567		6.38180682		0.50535493
72.07312000		70.57910246		-5.57427170		-242		-14.56030872		-17.39636671		19.39957729		-2.00321058		6.33402487		0.48967621
74.03208000		69.66165602		-6.49171813		-292		-17.56378163		-18.66495733		20.33722145		-1.67226411		6.19893562		0.46711687
74.03208000		68.74146209		-7.41191206		-311		-18.66768806		-19.68135526		21.25818563		-1.57683037		6.12692725		0.44044530
76.64245000		76.22234526		-8.30058122		-291		-17.49664574		-12.21746058		13.77764668		1.55941293		5.97616241		0.43557779
76.64245000		75.37028364		-9.15264284		-225		-13.53339287		-13.13602589		14.62920052		-1.49317463		5.90189569		0.41706743
74.76325000		74.47228610		-9.96775009		-220		-13.25049959		-14.12245509		15.52730885		-1.40485377		5.74035649		0.39238781
74.76325000		73.70327576		-10.73676043		-237		-14.26969860		-15.12889538		16.29610111		-1.16720574		5.64899751		0.36673922
70.41842000		70.07412710		-11.45117204		-265		-15.95646727		-18.87612984		19.92541335		-1.04928352		5.55188793		0.32967899
70.41842000		69.42746291		-12.09783623		-304		-18.26403892		-19.63236654		20.57227875		-0.93991222		5.45692499		0.29530862
68.09749000		67.81744695		-12.67723601		-331		-19.90475553		-21.33723356		22.18214067		-0.84490711		5.18568463		0.26545463
68.09749000		67.31884227		-13.17584069		-352		-21.13688514		-21.95730062		22.68082033		-0.72351971		5.09158024		0.22731250
68.02223000		67.83435998		-13.58781866		-362		-21.74787844		-21.54468517		22.16555878		-0.62087361		4.90939130		0.19506083
68.02223000		67.48223771		-13.93994092		-362		-21.73165414		-21.93635556		22.51760327		-0.58124772		4.82852968		0.16232055
67.84196000		67.68140749		-14.23744779		-363		-21.80967455		-21.83595285		22.31848100		-0.48252815		4.65933438		0.13475046
67.84196000		67.46327629		-14.45557898		-365		-21.92951714		-22.15706518		22.53658733		-0.37952215		4.58892487		0.10598413
72.28238000		72.20185375		-14.60878657		-343		-20.58772026		-17.49427015		17.79793481		-0.30366465		4.40461179		0.08479996
