GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp		steer_angle		str_moving_avg_result		stanley_steering_angle		path_angle		dr_yaw_angle		psi		stanley_atan		s		triangle_area		distance_a		distance_b		distance_c		x_error
37.81979000		37.81979000		0.00000000		0		0.00000000		0.02828409		0.00000000		37.81979000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
37.81979000		37.81980195		-0.01519597		471		0.00000000		28.28341156		0.00000000		37.81980195		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
37.81979000		37.81844742		-0.04465999		472		0.00000000		28.32955256		0.00000000		37.81844742		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
37.66106000		37.66752724		-0.03603178		411		0.00000000		24.70525565		0.00000000		37.66752724		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
39.38539000		39.37594440		-0.08711242		425		0.00000000		25.50009984		0.00000000		39.37594400		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
37.48192000		37.47336705		-0.13194759		488		0.00000000		29.33703973		0.00000000		37.47336575		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
34.84659000		34.56917833		-1.54065288		500		0.00000000		31.42587309		0.00000000		34.56917833		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
26.91547000		26.28304300		-9.65190833		500		0.00000000		34.67792719		0.00000000		26.28304300		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
8.71187000		7.66548112		-25.15232155		500		0.00000000		34.33156794		0.00000000		7.66548112		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
348.15893000		346.82013659		-44.07477125		500		0.00000000		31.26804936		0.00000000		346.82013659		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
323.63798000		322.02981059		-64.62692685		424		0.00000000		25.47447278		0.00000000		322.02981059		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
306.88880000		306.16704232		-81.46638360		88		0.00000000		5.31548153		0.00000000		306.16704232		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
296.76377000		296.55603859		-89.29164571		-79		0.00000000		-4.78661137		0.00000000		296.55603859		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
297.35825000		297.61891417		-88.66696901		-141		0.00000000		-8.49149659		0.00000000		297.61891417		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
302.95165000		303.19231111		-83.62502424		-81		0.00000000		-4.89348331		0.00000000		303.19231111		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
306.64825000		306.75635029		-80.38021183		-47		0.00000000		-2.87982156		0.00000000		306.75635029		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
309.44749000		309.53562771		-78.51761820		-12		0.00000000		-0.75154490		0.00000000		309.53563701		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000		0.00000000
