GNSS heading		dr_yaw_angle		yaw_rate_accum_tmp	steer_angle	str_moving_avg_result	stanley_steering_angle	path_angle		dr_yaw_angle		psi			atan_tmp		s			triangle_area		distance_a		distance_b		distance_c		x_error
268.04676000		268.04677979		0.00001979		0		0.00000000		-179.69814660		87.74490722		268.04677979		179.69814660		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04686559		0.00010559		-2		0.00000000		-179.69807385		87.74490722		268.04686559		179.69807385		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04691714		0.00015714		-5		-0.35939618		-179.69800205		87.74490722		268.04691714		179.69800205		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04695920		0.00019920		-7		0.00000000		-179.69796690		87.74490722		268.04695920		179.69796690		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04700051		0.00024051		-8		0.00000000		-179.69793208		87.74490722		268.04700051		179.69793208		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04704136		0.00028136		-10		0.00000000		-179.69789713		87.74490722		268.04704136		179.69789713		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04708238		0.00032238		-13		-0.80864101		-179.69786102		87.74490722		268.04708238		179.69786102		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04712456		0.00036456		-14		-0.89848992		-179.69778695		87.74490722		268.04712456		179.69778695		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04732723		0.00056723		-22		0.00000000		-179.69760907		87.74490722		268.04732723		179.69760907		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04737036		0.00061036		-25		-1.52743180		-179.69757189		87.74490722		268.04737036		179.69757189		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04741295		0.00065295		-26		-1.61728057		-179.69749952		87.74490722		268.04741295		179.69749952		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04745384		0.00069384		-28		-1.70712932		-179.69746341		87.74490722		268.04745384		179.69746341		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
268.04676000		268.04749462		0.00073462		-29		-1.79697805		-179.69742541		87.74490722		268.04749462		179.69742541		5.44443328		3.58005882		0.21509136		3.13805393		0.45134955		3.570714160.95310324
